Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
BevCo,1185732,1/1/2022,Northeast,New York,New York,Coca-Cola,0.50,"12,000",6000.00,3000.00,0.50
BevCo,1185732,1/2/2022,Northeast,New York,New York,Diet Coke,0.50,"10,000",5000.00,1500.00,0.30
BevCo,1185732,1/3/2022,Northeast,New York,New York,Sprite,0.40,"10,000",4000.00,1400.00,0.35
BevCo,1185732,1/4/2022,Northeast,New York,New York,Fanta,0.45,"8,500",3825.00,1338.75,0.35
BevCo,1185732,1/5/2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,0.30
BevCo,1185732,1/6/2022,Northeast,New York,New York,Dasani Water,0.50,"10,000",5000.00,1250.00,0.25
BevCo,1185732,1/7/2022,Northeast,New York,New York,Coca-Cola,0.50,"12,500",6250.00,3125.00,0.50
BevCo,1185732,1/8/2022,Northeast,New York,New York,Diet Coke,0.50,"9,000",4500.00,1350.00,0.30
BevCo,1185732,1/21/2022,Northeast,New York,New York,Sprite,0.40,"9,500",3800.00,1330.00,0.35
BevCo,1185732,1/22/2022,Northeast,New York,New York,Fanta,0.45,"8,250",3712.50,1299.38,0.35
BevCo,1185732,1/23/2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,0.30
BevCo,1185732,1/24/2022,Northeast,New York,New York,Dasani Water,0.50,"10,000",5000.00,1250.00,0.25
BevCo,1185732,1/25/2022,Northeast,New York,New York,Coca-Cola,0.50,"12,200",6100.00,3050.00,0.50
BevCo,1185732,1/26/2022,Northeast,New York,New York,Diet Coke,0.50,"9,250",4625.00,1387.50,0.30
BevCo,1185732,1/27/2022,Northeast,New York,New York,Sprite,0.40,"9,500",3800.00,1330.00,0.35
BevCo,1185732,1/28/2022,Northeast,New York,New York,Fanta,0.45,"8,000",3600.00,1260.00,0.35
BevCo,1185732,1/29/2022,Northeast,New York,New York,Powerade,0.60,"8,500",5100.00,1530.00,0.30
BevCo,1185732,1/30/2022,Northeast,New York,New York,Dasani Water,0.50,"9,500",4750.00,1187.50,0.25
BevCo,1185732,1/31/2022,Northeast,New York,New York,Coca-Cola,0.50,"12,000",6000.00,3000.00,0.50
BevCo,1185732,2/1/2022,Northeast,New York,New York,Diet Coke,0.50,"9,000",4500.00,1350.00,0.30
BevCo,1185732,2/2/2022,Northeast,New York,New York,Sprite,0.40,"9,000",3600.00,1260.00,0.35
BevCo,1185732,2/3/2022,Northeast,New York,New York,Fanta,0.45,"8,250",3712.50,1299.38,0.35
BevCo,1185732,2/4/2022,Northeast,New York,New York,Powerade,0.60,"8,250",4950.00,1485.00,0.30
BevCo,1185732,2/5/2022,Northeast,New York,New York,Dasani Water,0.50,"9,500",4750.00,1187.50,0.25
BevCo,1185732,2/6/2022,Northeast,New York,New York,Coca-Cola,0.60,"12,200",7320.00,3660.00,0.50
BevCo,1185732,2/7/2022,Northeast,New York,New York,Diet Coke,0.55,"9,250",5087.50,1526.25,0.30
BevCo,1185732,2/8/2022,Northeast,New York,New York,Sprite,0.50,"9,000",4500.00,1575.00,0.35
Amazon,1185732,2/9/2022,Northeast,New York,New York,Fanta,0.50,"8,500",4250.00,1487.50,0.35
Amazon,1185732,2/10/2022,Northeast,New York,New York,Powerade,0.60,"8,750",5250.00,1575.00,0.30
Amazon,1185732,3/3/2022,Northeast,New York,New York,Dasani Water,0.65,"10,000",6500.00,1625.00,0.25
Amazon,1185732,3/4/2022,Northeast,New York,New York,Coca-Cola,0.60,"12,500",7500.00,3750.00,0.50
Amazon,1185732,3/5/2022,Northeast,New York,New York,Diet Coke,0.55,"10,000",5500.00,1650.00,0.30
Amazon,1185732,3/6/2022,Northeast,New York,New York,Sprite,0.50,"9,250",4625.00,1618.75,0.35
Amazon,1185732,3/7/2022,Northeast,New York,New York,Fanta,0.50,"9,000",4500.00,1575.00,0.35
Amazon,1185732,3/8/2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,0.30
Amazon,1185732,3/9/2022,Northeast,New York,New York,Dasani Water,0.65,"10,500",6825.00,1706.25,0.25
Amazon,1185732,3/10/2022,Northeast,New York,New York,Coca-Cola,0.60,"12,750",7650.00,3825.00,0.50
Amazon,1185732,3/11/2022,Northeast,New York,New York,Diet Coke,0.55,"10,250",5637.50,1691.25,0.30
Amazon,1185732,3/12/2022,Northeast,New York,New York,Sprite,0.50,"9,500",4750.00,1662.50,0.35
Amazon,1185732,3/13/2022,Northeast,New York,New York,Fanta,0.50,"9,000",4500.00,1575.00,0.35
Amazon,1185732,3/14/2022,Northeast,New York,New York,Powerade,0.60,"9,250",5550.00,1665.00,0.30
